"LIVE ELECTIONS MAY 2012",,,,,,,
"First Preference By Ballot Box Report",,,,,,,
"Ward 8 Southside Central",,,,,,,
"05-05-16",,,,,,,
,,,,,,,,,,,
,"
Numbers of Preferences allocated to each Candidate
"Thomas Muirhead CONNOR","5","1","1","1","0","0","1","1","6","6"
"Moira Ann CRAWFORD","18","16","16","15","3","2","2","1","1","0"
"Jean DOUGLAS","2","3","3","3","2","2","2","5","1","5"
"Jahangir HANIF","51","28","15","5","2","2","1","0","1","1"
"Mhairi HUNTER","29","55","13","11","2","1","0","1","0","1"
"David Mansfield JAGO","0","0","9","5","3","4","2","3","4","0"
"Anne-Marie MILLAR","38","11","35","10","7","1","3","2","0","0"
"James SCANLON","76","71","12","7","5","3","2","0","0","0"
"Soryia SIDDIQUE","55","65","21","11","6","6","3","0","0","0"
"BOX 173","   1st    ","   2nd    ","   3rd    ","   4th    ","   5th    ","   6th    ","   7th    ","   8th    ","   9th    ","   10th    "
"William BONNAR","4","7","6","6","4","1","2","4","1","2"
"Thomas Muirhead CONNOR","3","4","7","2","0","3","0","1","4","2"
"Moira Ann CRAWFORD","12","10","26","8","7","1","4","1","0","0"
"Jean DOUGLAS","0","4","1","3","1","4","0","1","2","3"
"Jahangir HANIF","70","31","10","10","1","1","1","1","0","0"
"Mhairi HUNTER","27","69","18","8","1","0","1","2","0","0"
"David Mansfield JAGO","2","5","2","3","0","3","2","1","2","2"
"Anne-Marie MILLAR","45","13","29","6","5","1","2","1","3","0"
"James SCANLON","64","58","20","4","2","2","0","1","0","1"
"Soryia SIDDIQUE","53","52","17","10","3","1","2","0","0","0"
"TOTAL POSTAL SOUTHSIDE CENTRAL","   1st    ","   2nd    ","   3rd    ","   4th    ","   5th    ","   6th    ","   7th    ","   8th    ","   9th    ","   10th    "
"William BONNAR","30","20","69","43","23","12","16","20","19","15"
"Thomas Muirhead CONNOR","50","16","31","18","9","13","14","18","22","34"
"Moira Ann CRAWFORD","57","63","125","50","30","26","24","14","8","1"
"Jean DOUGLAS","11","10","29","13","17","16","20","26","15","21"
"Jahangir HANIF","327","180","75","45","13","6","6","3","11","4"
"Mhairi HUNTER","197","309","89","57","23","11","2","4","3","8"
"David Mansfield JAGO","13","29","42","29","29","37","19","16","15","7"
"Anne-Marie MILLAR","73","54","161","38","37","23","19","11","15","14"
"James SCANLON","495","181","94","55","14","6","7","3","8","2"
"Soryia SIDDIQUE","174","424","97","51","11","8","7","11","5","10"
"NB The STV election results cannot be calculated from these numbers.",,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,

