"LIVE ELECTIONS MAY 2012",,,,,,,
"First Preference By Ballot Box Report",,,,,,,
"Ward 5 Govan",,,,,,,
"05-05-16",,,,,,,
,,,,,,,,,,,
,"
Numbers of Preferences allocated to each Candidate
",,,,,,,,,,,,,
"Allison HUNTER","65","23","24","4","1","1","0","0","1","0","0","0","1","0"
"Jonathan MACKIE","13","66","17","11","0","1","0","1","0","0","0","1","0","0"
"Tahir MOHAMMED","7","11","55","10","8","0","2","0","0","0","1","0","0","0"
"Harriet MURDOCH","7","5","4","6","3","2","0","0","0","0","1","0","0","0"
"Fariha THOMAS","24","31","13","5","4","2","0","0","0","1","1","0","0","0"
"Chris YOUNG","4","6","8","8","3","1","3","0","0","1","0","1","0","1"
"BOX 108","   1st    ","   2nd    ","   3rd    ","   4th    ","   5th    ","   6th    ","   7th    ","   8th    ","   9th    ","   10th    ","   11th    ","   12th    ","   13th    ","   14th    "
"James ADAMS","61","30","9","7","4","3","0","0","0","0","0","0","0","0"
"Finlay ARCHIBALD","2","3","3","3","3","0","2","2","0","0","1","0","0","0"
"Jesper BACH","12","3","11","13","1","3","1","0","0","1","0","0","0","0"
"Shaukat BUTT","36","18","18","7","0","2","0","0","0","1","0","0","0","0"
"Stephen DORNAN","4","14","9","3","0","1","1","0","0","0","1","0","0","0"
"Joyce DRUMMOND","0","4","4","4","4","1","1","1","0","0","0","1","1","0"
"John FLANAGAN","4","4","1","5","1","3","0","0","1","0","0","0","1","0"
"Alan HUGHES","20","6","2","0","1","1","0","0","0","1","0","1","0","1"
"Allison HUNTER","45","20","17","10","4","1","1","0","1","0","0","0","0","0"
"Jonathan MACKIE","5","43","21","12","5","2","0","1","0","0","0","0","0","0"
"Tahir MOHAMMED","37","16","46","6","6","3","3","0","0","0","0","0","0","0"
"Harriet MURDOCH","7","13","7","2","2","1","0","0","2","0","0","0","0","0"
"Fariha THOMAS","24","48","26","5","8","2","1","0","0","0","0","0","0","0"
"Chris YOUNG","3","8","9","3","3","2","0","1","0","0","0","0","0","1"
"BOX 110 & 112","   1st    ","   2nd    ","   3rd    ","   4th    ","   5th    ","   6th    ","   7th    ","   8th    ","   9th    ","   10th    ","   11th    ","   12th    ","   13th    ","   14th    "
"James ADAMS","47","47","15","13","3","4","0","1","1","0","0","1","0","1"
"Finlay ARCHIBALD","5","7","12","7","2","3","1","3","1","2","1","0","1","1"
"Jesper BACH","25","12","17","18","11","2","5","0","2","0","1","0","1","0"
"Shaukat BUTT","58","16","13","13","4","6","2","1","0","0","2","2","0","0"
"Stephen DORNAN","2","19","5","14","6","4","2","1","2","1","2","1","0","0"
"Joyce DRUMMOND","3","5","2","3","4","3","4","3","2","4","0","1","0","0"
