"LIVE ELECTIONS MAY 2012",,,,,,,
"First Preference By Ballot Box Report",,,,,,,
"Ward 20 Baillieston",,,,,,,
"05-05-16",,,,,,,
,,,,,,,,,,,
,"
Numbers of Preferences allocated to each Candidate
"BOX 440","   1st    ","   2nd    ","   3rd    ","   4th    ","   5th    ","   6th    ","   7th    ","   8th    ","   9th    ","   10th    "
"Margaret BEAN","3","5","16","2","4","2","1","3","2","1"
"James COLEMAN","75","48","11","1","1","1","0","1","1","1"
"Marie GARRITY","50","73","6","7","1","0","1","0","1","0"
"Raymond Colin MCCRAE","18","2","8","2","1","4","2","1","1","3"
"James David MCHALE","1","4","6","4","1","1","5","3","1","0"
"Andy MUIR","4","2","14","8","5","3","0","2","3","0"
"Austin SHERIDAN","21","46","9","3","2","1","0","3","2","1"
"Arthur Misty  THACKERAY","2","1","4","2","4","2","1","0","2","4"
"David Jamieson TURNER","44","23","9","8","1","1","1","0","1","4"
"David WEIR","4","2","13","8","3","2","3","1","0","0"
"BOX 442","   1st    ","   2nd    ","   3rd    ","   4th    ","   5th    ","   6th    ","   7th    ","   8th    ","   9th    ","   10th    "
"Margaret BEAN","7","2","12","2","2","2","2","1","1","2"
"James COLEMAN","67","40","17","8","0","0","0","0","1","0"
"Marie GARRITY","40","56","15","7","2","0","1","1","0","0"
"Raymond Colin MCCRAE","9","5","5","7","0","1","1","1","3","2"
"James David MCHALE","2","2","6","5","1","1","0","4","3","0"
"Andy MUIR","5","9","10","4","3","3","3","0","0","1"
"Austin SHERIDAN","31","43","9","5","2","1","0","2","0","1"
"Arthur Misty  THACKERAY","3","3","6","5","3","0","3","1","1","1"
"David Jamieson TURNER","47","26","11","4","3","0","0","0","2","1"
"David WEIR","5","4","18","7","5","5","1","1","0","2"
"TOTAL POSTAL BAILLIESTON","   1st    ","   2nd    ","   3rd    ","   4th    ","   5th    ","   6th    ","   7th    ","   8th    ","   9th    ","   10th    "
"Margaret BEAN","26","11","79","27","29","18","13","25","17","18"
"James COLEMAN","782","239","120","41","16","6","6","4","5","4"
"Marie GARRITY","214","706","80","63","16","6","5","6","10","2"
"Raymond Colin MCCRAE","112","31","56","24","13","15","9","12","19","51"
"James David MCHALE","19","28","66","43","29","23","23","17","27","11"
"Andy MUIR","39","65","175","71","39","26","22","5","4","5"
"Austin SHERIDAN","221","346","108","54","16","8","9","6","11","5"
"Arthur Misty  THACKERAY","17","38","36","25","24","19","21","35","23","9"
"David Jamieson TURNER","393","240","106","66","14","13","12","9","7","9"
"David WEIR","40","21","143","62","28","39","19","14","9","14"
"NB The STV election results cannot be calculated from these numbers.",,,,,,,
,,,,,,,,,,
,,,,,,,,,,
