"LIVE ELECTIONS MAY 2012",,,,,,,
"First Preference By Ballot Box Report",,,,,,,
"Ward 3 Greater Pollok",,,,,,,
"05-05-16",,,,,,,
,,,,,,,,,,,
,"
Numbers of Preferences allocated to each Candidate
",,,,,,,,,,
"BOX 043 & 044","   1st    ","   2nd    ","   3rd    ","   4th    ","   5th    ","   6th    ","   7th    ","   8th    ","   9th    ","   10th    ","   11th    "
"Ian M BEATTIE","3","4","12","8","8","5","1","2","0","2","2"
"Bill BUTLER","106","74","26","21","2","1","1","0","0","0","0"
"Norman FRASER","3","10","20","5","5","5","2","2","3","0","0"
"Rashid HUSSAIN","76","83","35","15","2","4","3","0","0","0","0"
"Shabbar JAFFRI","86","51","18","9","4","5","0","1","0","2","2"
"Archie E LINNEGAN","3","3","15","5","1","3","1","5","0","2","2"
"David MCDONALD","68","80","23","16","3","0","1","0","0","2","2"
"Chris MORGAN","21","11","7","5","1","1","2","0","6","1","4"
"Tommy MORRISON","3","8","29","18","3","2","4","1","3","0","0"
"Juliet NEAL","10","24","32","18","7","1","2","1","1","0","0"
"William O'ROURKE","4","12","24","24","6","3","2","3","0","3","0"
"BOX 065","   1st    ","   2nd    ","   3rd    ","   4th    ","   5th    ","   6th    ","   7th    ","   8th    ","   9th    ","   10th    ","   11th    "
"Ian M BEATTIE","3","2","11","6","5","3","2","4","2","1","6"
"Bill BUTLER","50","38","17","13","5","5","0","2","1","1","1"
"Norman FRASER","3","4","9","8","5","6","1","3","1","4","1"
"Rashid HUSSAIN","49","43","24","9","5","1","1","0","2","1","0"
"Shabbar JAFFRI","49","34","16","4","1","0","0","1","2","5","0"
"Archie E LINNEGAN","5","1","4","3","1","1","4","3","5","4","5"
"David MCDONALD","39","47","4","14","1","1","1","2","3","1","1"
"Chris MORGAN","15","2","13","3","2","4","2","5","3","1","5"
"Tommy MORRISON","1","9","7","9","3","5","9","4","3","2","1"
"Juliet NEAL","2","9","22","7","12","2","5","3","4","2","1"
"William O'ROURKE","3","7","12","6","5","8","5","2","1","3","3"
"BOX 067 & 068","   1st    ","   2nd    ","   3rd    ","   4th    ","   5th    ","   6th    ","   7th    ","   8th    ","   9th    ","   10th    ","   11th    "
"Ian M BEATTIE","5","5","18","5","4","1","0","1","2","0","2"
"Bill BUTLER","82","28","14","11","4","0","1","3","0","0","0"
"Norman FRASER","0","7","11","7","6","2","1","1","2","3","0"
"Rashid HUSSAIN","24","69","21","8","5","2","0","0","2","0","0"
"Shabbar JAFFRI","45","28","13","5","2","2","2","0","1","3","0"
"Archie E LINNEGAN","1","2","2","1","1","1","3","0","3","2","3"
"David MCDONALD","37","43","11","10","2","0","0","3","0","1","0"
"Chris MORGAN","14","1","5","9","1","3","2","2","0","1","4"
"Tommy MORRISON","2","10","11","14","4","8","0","0","2","0","0"
"Juliet NEAL","3","3","23","9","4","1","2","3","0","0","2"
"William O'ROURKE","14","12","18","9","4","1","4","0","0","2","0"
"TOTAL POSTAL GREATER POLLOK","   1st    ","   2nd    ","   3rd    ","   4th    ","   5th    ","   6th    ","   7th    ","   8th    ","   9th    ","   10th    ","   11th    "
"Ian M BEATTIE","29","18","63","32","28","17","8","11","11","3","16"
"Bill BUTLER","616","266","132","62","11","10","10","3","3","4","0"
"Norman FRASER","25","33","55","27","26","12","16","11","15","14","1"
"Rashid HUSSAIN","449","475","157","66","16","8","6","8","5","4","1"
"Shabbar JAFFRI","271","385","86","44","15","13","3","7","11","5","2"
"Archie E LINNEGAN","26","18","46","17","8","20","18","16","12","14","16"
"David MCDONALD","414","279","130","48","13","2","7","9","4","5","6"
"Chris MORGAN","85","33","27","17","5","8","15","13","10","18","26"
"Tommy MORRISON","44","136","118","62","37","21","2","10","14","8","5"
"Juliet NEAL","34","53","128","46","28","22","21","9","7","12","3"
"William O'ROURKE","119","85","157","72","21","22","14","7","8","8","16"
"NB The STV election results cannot be calculated from these numbers.",,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,

