"LIVE ELECTIONS MAY 2012",,,,,,,
"First Preference By Ballot Box Report",,,,,,,
"Ward 13 Garscadden-Scotstounhill",,,,,,,
"05-05-16",,,,,,,
,,,,,,,,,,,
,"
Numbers of Preferences allocated to each Candidate
",,,,,,,,,,,,
"Liz CAMERON","33","68","88","6","5","1","0","0","0","0","0","0","0"
"John CORMACK","4","5","3","5","0","2","0","0","0","0","1","1","0"
"Iain CUMMING","3","4","6","4","2","1","0","0","0","0","0","0","1"
"Graeme Andrew HENDRY","75","24","13","8","3","0","0","0","0","0","1","0","0"
"Phil JARVIS","9","5","8","5","1","1","1","0","2","0","0","0","0"
"John KELLY","5","92","64","9","3","1","1","0","0","0","0","0","0"
"Susan Marion MCCOURT","3","0","1","4","0","0","0","1","0","1","0","0","0"
"Mark MUIR","2","2","2","1","3","0","1","1","1","0","0","0","0"
"Paul ROONEY","186","18","24","5","6","1","1","0","0","1","0","0","0"
"Martin SCHMIERER","2","8","11","9","3","1","0","1","0","0","1","0","0"
"James Douglas SPEIRS","0","2","1","4","5","0","0","0","0","0","0","2","0"
"Ryan STUART","3","2","1","2","1","2","1","0","0","1","0","0","1"
"Donald T WILSON","11","68","19","7","3","4","1","0","0","0","0","0","0"
"BOX 273","   1st    ","   2nd    ","   3rd    ","   4th    ","   5th    ","   6th    ","   7th    ","   8th    ","   9th    ","   10th    ","   11th    ","   12th    ","   13th    "
"Liz CAMERON","19","91","132","13","3","2","0","0","0","0","0","0","1"
"John CORMACK","3","7","1","4","3","1","2","0","0","0","0","0","0"
"Iain CUMMING","2","5","6","2","2","3","1","0","0","1","0","0","0"
"Graeme Andrew HENDRY","72","28","11","4","3","0","0","1","0","0","0","0","2"
"Phil JARVIS","6","6","6","10","1","1","1","0","1","0","0","0","0"
"John KELLY","2","125","84","7","0","2","2","1","0","1","0","0","0"
"Susan Marion MCCOURT","4","1","4","1","0","1","1","0","1","0","0","0","0"
"Mark MUIR","0","1","3","1","2","0","0","2","0","0","0","0","0"
"Paul ROONEY","266","20","18","5","1","0","0","0","1","0","1","0","0"
"Martin SCHMIERER","6","4","19","8","2","1","0","0","1","0","0","0","0"
"James Douglas SPEIRS","4","4","4","1","2","2","0","0","0","0","1","0","0"
"Ryan STUART","1","0","3","1","0","0","0","0","1","1","1","0","0"
"Donald T WILSON","5","67","14","5","2","0","0","1","0","0","0","3","0"
"BOX 274 & 283","   1st    ","   2nd    ","   3rd    ","   4th    ","   5th    ","   6th    ","   7th    ","   8th    ","   9th    ","   10th    ","   11th    ","   12th    ","   13th    "
"Liz CAMERON","61","22","40","8","2","0","0","0","0","0","0","0","0"
"John CORMACK","5","3","6","0","0","3","0","0","1","0","0","0","1"
"Iain CUMMING","4","2","4","2","1","0","2","0","0","0","1","0","0"
"Graeme Andrew HENDRY","68","27","10","5","2","2","0","0","1","0","0","0","0"
"Phil JARVIS","4","2","4","5","2","0","0","2","1","0","0","1","0"
