"LIVE ELECTIONS MAY 2012",,,,,,,
"First Preference By Ballot Box Report",,,,,,,
"Ward 16 Canal",,,,,,,
"05-05-16",,,,,,,
,,,,,,,,,,,
,"
Numbers of Preferences allocated to each Candidate
",,,,,,,,,,,
"Caroline JOHNSTON","1","1","4","2","1","2","0","0","1","1","0","0"
"Chris KELLY","114","29","5","4","0","0","0","0","0","0","0","0"
"Billy MCALLISTER","42","11","13","2","1","0","0","2","0","1","1","0"
"Angela MCCORMICK","1","3","1","1","3","1","2","0","2","1","0","0"
"Graham Craig NICHOLLS","3","5","2","0","0","2","0","2","1","1","1","0"
"Gavin Clark ROBERTS","8","36","6","5","1","0","1","0","0","0","1","2"
"Helen STEPHEN","16","94","21","3","1","0","0","0","0","0","0","0"
"Margaret WALKER","2","2","3","3","1","0","1","0","1","1","0","2"
"Kieran WILD","2","0","7","4","0","3","0","1","0","0","0","0"
"BOX 349 & 350","   1st    ","   2nd    ","   3rd    ","   4th    ","   5th    ","   6th    ","   7th    ","   8th    ","   9th    ","   10th    ","   11th    ","   12th    "
"Jim BERRINGTON","18","9","28","10","4","1","2","0","1","1","0","0"
"Brian BROWN","20","3","12","4","1","4","1","2","2","0","0","0"
"Fay DORNAN","1","3","7","10","3","3","1","3","1","1","0","0"
"Caroline JOHNSTON","3","1","6","2","3","2","2","2","2","0","4","1"
"Chris KELLY","137","36","10","6","3","3","1","0","2","0","1","0"
"Billy MCALLISTER","68","19","19","11","2","1","0","1","0","0","0","1"
"Angela MCCORMICK","16","12","17","5","0","0","3","2","2","1","0","1"
"Graham Craig NICHOLLS","0","20","2","4","2","1","0","0","0","6","0","1"
"Gavin Clark ROBERTS","17","68","14","6","1","1","1","0","1","0","2","0"
"Helen STEPHEN","28","128","31","13","3","1","0","1","1","0","1","0"
"Margaret WALKER","1","1","2","1","1","0","0","1","0","1","3","5"
"Kieran WILD","14","5","24","6","4","1","2","0","0","1","0","2"
"BOX 351 & 352","   1st    ","   2nd    ","   3rd    ","   4th    ","   5th    ","   6th    ","   7th    ","   8th    ","   9th    ","   10th    ","   11th    ","   12th    "
"Jim BERRINGTON","21","6","16","9","5","1","1","1","0","0","1","1"
"Brian BROWN","16","7","11","3","2","1","2","2","0","2","1","1"
"Fay DORNAN","1","1","11","5","4","2","3","2","0","1","0","0"
