"LIVE ELECTIONS MAY 2012",,,,,,,
"First Preference By Ballot Box Report",,,,,,,
"Ward 18 East Centre",,,,,,,
"05-05-16",,,,,,,
,,,,,,,,,,,
,"
Numbers of Preferences allocated to each Candidate
",,,,,,,,,,
"Fraser PATERSON","0","2","4","0","3","4","0","2","4","0","0"
"Russell ROBERTSON","2","13","60","11","8","4","2","2","0","0","0"
"Colin RULLKOTTER","25","31","10","9","4","1","3","1","0","2","1"
"TOTAL POSTAL EAST CENTRE","   1st    ","   2nd    ","   3rd    ","   4th    ","   5th    ","   6th    ","   7th    ","   8th    ","   9th    ","   10th    ","   11th    "
"Keenan ALEXANDER","88","17","29","22","7","6","9","5","7","5","25"
"Nina BALLANTYNE","53","36","99","44","20","19","15","9","7","6","1"
"Frank DOCHERTY","574","302","239","29","18","3","8","5","8","0","2"
"Jennifer DUNN","340","146","42","40","13","8","2","5","6","8","4"
"Steven LAIRD","11","30","35","35","10","6","11","12","11","8","7"
"Alan LEE","19","29","29","22","16","17","3","8","11","14","4"
"Elaine MCDOUGALL","316","481","254","39","16","5","5","8","2","5","1"
"Daniel O'DONNELL","20","24","37","25","22","11","8","10","11","8","6"
"Fraser PATERSON","17","30","57","45","14","25","9","10","6","6","3"
"Russell ROBERTSON","206","222","507","58","20","13","8","3","2","2","6"
"Colin RULLKOTTER","71","263","42","34","30","8","9","5","3","7","10"
"NB The STV election results cannot be calculated from these numbers.",,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,

