"LIVE ELECTIONS MAY 2012",,,,,,,
"First Preference By Ballot Box Report",,,,,,,
"Ward 10 Anderston-City",,,,,,,
"05-05-16",,,,,,,
,,,,,,,,,,,
,"
Numbers of Preferences allocated to each Candidate
",,,,,,,,,,
"Alexander MCDOWELL","1","3","9","7","5","3","1","4","0","1","0"
"John Moir Bingham ROBERTSON","0","0","1","1","2","4","1","1","3","0","3"
"BOX 214","   1st    ","   2nd    ","   3rd    ","   4th    ","   5th    ","   6th    ","   7th    ","   8th    ","   9th    ","   10th    ","   11th    "
"Nina BAKER","5","0","14","4","3","0","0","1","0","0","1"
"David Scott BARNES","7","3","5","1","2","0","1","1","0","1","0"
"Philip BRAAT","16","105","6","1","0","2","0","0","0","0","0"
"Graham CAMPBELL","1","2","4","3","2","1","0","1","1","0","1"
"Martin John DOCHERTY","27","25","11","2","1","0","0","0","1","0","0"
"Rob HARRIS","0","2","1","0","1","1","2","1","0","1","0"
"Ewan HOYLE","1","2","4","3","1","0","2","0","0","0","0"
"Craig MACKAY","24","28","2","2","1","1","0","0","1","0","0"
"Gordon MATHESON","117","15","3","4","0","1","0","0","0","0","0"
"Alexander MCDOWELL","0","4","4","3","4","1","0","0","0","1","0"
"John Moir Bingham ROBERTSON","3","1","2","1","0","2","1","0","0","0","1"
"TOTAL POSTAL ANDERSTON CITY","   1st    ","   2nd    ","   3rd    ","   4th    ","   5th    ","   6th    ","   7th    ","   8th    ","   9th    ","   10th    ","   11th    "
"Nina BAKER","78","60","142","39","18","11","6","4","0","1","0"
"David Scott BARNES","75","21","41","17","13","8","8","6","3","6","12"
"Philip BRAAT","310","307","65","33","10","2","0","1","5","3","1"
"Graham CAMPBELL","14","16","28","16","8","7","6","10","8","13","4"
"Martin John DOCHERTY","197","123","81","27","13","5","2","1","2","3","1"
"Rob HARRIS","5","10","19","10","9","8","7","4","12","11","9"
"Ewan HOYLE","21","33","47","31","18","11","10","8","5","4","3"
"Craig MACKAY","88","182","70","48","8","10","3","1","2","2","3"
"Gordon MATHESON","285","222","57","43","19","3","4","2","3","3","2"
"Alexander MCDOWELL","7","6","36","15","10","13","13","11","8","4","3"
"John Moir Bingham ROBERTSON","3","1","11","8","5","6","8","15","8","5","14"
"NB The STV election results cannot be calculated from these numbers.",,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,

