"LIVE ELECTIONS MAY 2012",,,,,,,,,,,,,
"First Preference By Ballot Box Report",,,,,,,,,,,,,
"Ward 12 Partick West",,,,,,,,,,,,,
04/05/2012,,,,,,,,,,,,,
,,,,,,,,,,,,,
,"
Numbers of Preferences allocated to each Candidate
",,,,,,,,,,,,
"ROBERT FINDLAY",0,1,4,3,1,2,0,1,0,1,1,0,0
"Andrew GRAY",9,8,12,9,2,2,4,0,1,0,1,1,1
"Stuart James MASKELL",1,1,4,0,0,3,1,0,2,2,0,1,1
"Kenny MCLEAN",47,35,16,6,4,2,0,1,0,0,0,1,0
"James PARIS",8,9,12,8,3,2,2,1,0,1,0,0,0
"Michael Graeme SHANKS",14,53,23,13,7,9,3,0,0,0,1,1,0
"Donald WILLIAMSON",0,1,1,3,3,0,0,1,0,1,4,1,0
"BOX 259","   1st    ","   2nd    ","   3rd    ","   4th    ","   5th    ","   6th    ","   7th    ","   8th    ","   9th    ","   10th    ","   11th    ","   12th    ","   13th    "
"John ANDERSON",10,2,5,4,5,2,0,2,1,0,1,0,1
"Martin BARTOS",51,21,55,7,3,2,0,0,1,0,0,0,0
"Nicholas Alexander BLACK",0,2,2,1,3,3,0,1,0,2,0,0,1
"Aileen COLLERAN",80,42,20,9,1,2,0,1,0,0,0,0,2
"Feargal DALTON",29,51,22,8,4,3,0,0,0,0,0,0,0
"CATHERINE FINDLAY",2,2,2,2,0,2,1,1,1,2,0,0,1
"ROBERT FINDLAY",1,1,4,1,1,0,2,1,1,1,3,1,0
"Andrew GRAY",6,7,12,10,1,1,2,0,1,1,2,2,0
"Stuart James MASKELL",2,2,2,3,1,0,0,1,2,1,0,2,0
"Kenny MCLEAN",52,37,17,8,3,3,1,0,0,1,0,0,0
"James PARIS",4,13,14,8,2,2,4,2,0,0,2,0,0
"Michael Graeme SHANKS",32,69,18,17,9,1,2,0,0,0,0,3,0
"Donald WILLIAMSON",2,2,4,3,1,0,3,0,1,0,0,0,3
"BOX 260 & 261","   1st    ","   2nd    ","   3rd    ","   4th    ","   5th    ","   6th    ","   7th    ","   8th    ","   9th    ","   10th    ","   11th    ","   12th    ","   13th    "
"John ANDERSON",28,8,12,5,4,1,1,1,0,1,0,0,2
